ax,ay,az,gx,gy,gz,time
-0.1,-0.0,9.98,0.01,0.01,-0.0,1771658354.900508
-0.1,-0.0,9.98,0.01,0.01,-0.0,1771658354.900643
-0.14,-0.07,9.95,0.01,0.02,-0.0,1771658354.9007769
-0.12,-0.02,10.01,0.01,0.01,-0.0,1771658354.9009159
-0.12,-0.02,10.01,0.01,0.01,-0.0,1771658354.901149
-0.11,0.0,9.99,0.01,0.01,0.0,1771658354.901321
-0.16,-0.06,9.9,0.01,0.01,0.0,1771658354.901474
-0.16,-0.06,9.9,0.01,0.01,-0.0,1771658354.901626
-0.11,-0.01,9.99,0.01,0.02,-0.0,1771658354.901783
-0.12,0.02,9.97,0.01,0.01,-0.0,1771658354.901931
-0.08,-0.0,9.97,0.01,0.01,-0.0,1771658354.902081
-0.08,-0.0,9.97,0.01,0.01,0.0,1771658354.902226
-0.15,0.03,9.92,0.01,0.01,0.0,1771658354.902376
-0.09,0.01,9.92,0.01,0.01,-0.0,1771658354.902522
-0.09,0.01,9.92,0.01,0.02,0.0,1771658354.902663
-0.17,0.04,9.98,0.02,0.01,0.0,1771658354.902804
-0.09,0.0,9.95,0.01,0.01,-0.01,1771658354.902959
-0.06,-0.03,9.96,0.02,0.01,0.0,1771658354.9032419
-0.06,-0.03,9.96,0.01,0.01,0.0,1771658354.903449
-0.1,-0.02,9.95,0.01,0.01,-0.0,1771658354.903616
-0.09,-0.02,9.95,0.01,0.01,-0.0,1771658354.903776
-0.09,-0.02,9.95,0.01,0.01,-0.0,1771658354.903927
-0.1,0.0,9.98,0.02,0.01,0.0,1771658354.904066
-0.11,0.0,9.96,0.01,0.01,0.0,1771658354.904269
-0.11,0.0,9.96,0.01,0.01,0.0,1771658354.904433
-0.15,0.0,9.99,0.01,0.01,-0.01,1771658354.904574
-1.91,0.46,8.02,-0.3,-1.13,-0.14,1771658354.904705
1.43,-0.84,9.44,-0.06,-0.78,-0.42,1771658354.9048388
1.43,-0.84,9.44,-0.28,-0.51,-0.24,1771658354.904974
1.4,0.0,7.88,0.26,-0.06,0.11,1771658354.905094
3.36,-1.02,10.78,-0.17,-0.1,0.14,1771658354.905233
3.36,-1.02,10.78,0.1,0.06,0.55,1771658354.905355
-0.84,-0.59,2.71,-0.02,0.26,0.27,1771658354.9054852
-0.9,0.03,9.45,0.19,0.46,0.03,1771658354.905602
-0.9,0.03,9.45,0.96,0.82,-0.15,1771658354.9057221
-1.83,0.43,10.47,-0.04,1.07,-0.2,1771658354.905848
-1.11,4.41,19.98,-0.09,1.43,-0.12,1771658354.905986
-0.5,-0.05,9.85,-0.07,1.25,-0.06,1771658354.906111
-0.5,-0.05,9.85,-0.07,0.97,-0.07,1771658354.906234
-0.85,-0.04,9.39,-0.05,0.73,-0.06,1771658354.906362
-1.65,-0.52,10.79,-0.09,0.62,-0.01,1771658354.90649
-1.65,-0.52,10.79,-0.12,0.4,0.04,1771658354.906614
-1.84,-0.19,13.54,0.1,0.58,0.0,1771658354.9067352
-0.94,-0.2,10.36,0.04,0.35,-0.08,1771658354.9068632
-1.01,0.02,11.04,0.08,-0.01,0.04,1771658354.906985
-1.01,0.02,11.04,-0.03,0.21,0.06,1771658354.907108
-0.22,-0.09,10.13,-0.02,0.3,0.2,1771658354.907232
-1.05,-0.38,9.94,-0.08,0.39,0.26,1771658354.907357
-1.05,-0.38,9.94,-0.07,0.21,0.27,1771658354.907478
-0.69,-1.52,9.6,-0.02,0.13,0.22,1771658354.907598
-2.28,0.19,10.26,-0.07,0.09,0.19,1771658354.907719
-2.28,0.19,10.26,-0.12,0.07,-0.02,1771658354.908003
-1.37,0.34,9.83,-0.13,-0.03,-0.24,1771658354.90814
-1.02,1.22,7.44,-0.09,-0.06,-0.33,1771658354.9082692
-0.32,-0.53,9.97,0.0,-0.15,-0.37,1771658354.908396
-0.32,-0.53,9.97,-0.26,-0.22,-0.26,1771658354.908532
-0.94,-0.51,9.23,-0.11,-0.24,-0.2,1771658354.908664
0.52,0.15,10.18,0.05,-0.22,-0.13,1771658354.908787
0.52,0.15,10.18,0.05,-0.4,0.2,1771658354.908909
-1.05,-0.01,11.04,0.0,-0.48,0.19,1771658354.909036
-0.57,-0.05,10.48,-0.01,-0.46,0.19,1771658354.909208
-0.57,-0.05,10.48,0.04,-0.33,0.22,1771658354.9096751
-2.04,-0.53,10.3,0.04,-0.35,0.09,1771658354.909983
-1.3,-0.67,9.62,0.08,-0.28,0.02,1771658354.910217
-0.78,-0.34,10.39,0.2,-0.05,-0.1,1771658354.910387
-0.78,-0.34,10.39,0.11,-0.01,-0.14,1771658354.91056
