episode,epsilon,reward_total,reward_per_step,amp_norm_mean,phase_err_abs_mean,action_abs_mean,loss_mean,steps
1.0,1.0,-777.4170234555851,-3.0367852478733792,0.9170207808731489,2.940484619939139,0.552734375,,256.0
2.0,0.9921162280069322,-826.5537211972081,-3.228725473426594,0.8783774483706616,3.1094973987266346,0.5302734375,2.3882438036111684,256.0
3.0,0.9842978811305366,-833.4494511300171,-3.2556619184766293,0.9265288893838719,3.075409165054517,0.501953125,0.1981940024998039,256.0
4.0,0.976544416426916,-806.4407988321874,-3.150159370438232,0.9210210413123378,3.009411618401975,0.5283203125,0.10915444600595947,256.0
5.0,0.9688552954579056,-767.0504755949923,-2.996290920292939,0.9231223568073365,2.9063173413556713,0.4970703125,0.09963042940762534,256.0
6.0,0.9612299842536812,-804.8642995995596,-3.1440011703107795,0.9246590077380091,3.0039669502810376,0.513671875,0.10556602748874866,256.0
7.0,0.9536679532756783,-796.8391789618368,-3.112653042819675,0.9212486316494602,2.982847117499489,0.533203125,0.13154905218834756,256.0
8.0,0.9461686773798176,-852.5833954433316,-3.330403888450514,0.9271230779041326,3.120577416412569,0.4814453125,0.14826403148617828,256.0
9.0,0.9387316357800369,-902.3035634944191,-3.5246232949000746,1.0165296090666063,3.1171864980627952,0.5205078125,0.1707204415142769,256.0
10.0,0.9313563120121252,-709.1441229153402,-2.7700942301380476,0.9237266718834435,2.7433431805487327,0.5126953125,0.151254224278091,256.0
11.0,0.9240421938978571,-742.3236476338833,-2.8997017485698566,0.9227229677010377,2.836488027946407,0.5185546875,0.17871459277375834,256.0
12.0,0.9167887735094239,-768.5039611923016,-3.0019685984074282,0.9182268366026808,2.9136028994043954,0.5478515625,0.20138149370905012,256.0
13.0,0.9095955471341616,-709.2477794750183,-2.7704991385742903,0.9235108902285135,2.7435766355929427,0.5263671875,0.20575972416554578,256.0
14.0,0.9024620152395699,-835.7853405164251,-3.2647864863922855,0.8590778376333393,3.1161819604572227,0.51953125,0.24166324226825964,256.0
15.0,0.8953876824386227,-806.7170157051037,-3.1512383425980612,0.9236680649539496,3.0064657982536414,0.544921875,0.2662319921073504,256.0
16.0,0.8883720574553657,-851.444044047748,-3.3259532970615155,0.9251133649613142,3.120106698416656,0.478515625,0.2613687100674724,256.0
17.0,0.8814146530908001,-803.6601166741975,-3.139297330758584,0.9175325748948806,3.005863994092726,0.544921875,0.2848441462556366,256.0
18.0,0.8745149861890491,-869.1738793988932,-3.3952104664019265,0.9614474116540799,3.1201018629081196,0.501953125,0.282536236118176,256.0
19.0,0.8676725776038049,-777.2907526557534,-3.0362920025615368,0.912389938702661,2.943673311296404,0.5751953125,0.32851775908784475,256.0
20.0,0.860886952165055,-764.5611179511893,-2.9865668669968333,0.9150503162179693,2.908833380631328,0.55078125,0.3161042993015144,256.0
21.0,0.8541576386460834,-711.3694355602418,-2.7787868576571944,0.9264572004983085,2.7486813858342494,0.5009765625,0.3299898027034942,256.0
22.0,0.847484169730747,-803.4890627088339,-3.1386291512063824,0.9128297271493464,3.0105183698585503,0.583984375,0.3869816423393786,256.0
23.0,0.8408660819810226,-808.1815902168879,-3.1569593367847184,0.8267178338838401,3.1185051402380513,0.5380859375,0.42824475982342847,256.0
24.0,0.8343029158048233,-847.9141960163666,-3.312164828188932,0.9167116060345833,3.1219176570583564,0.546875,0.35277866071555763,256.0
25.0,0.8277942154240827,-811.2282540525988,-3.168860367392964,0.9166110923804699,3.0277385890851054,0.5703125,0.42797708651050925,256.0
26.0,0.8213395288431032,-741.7406055029182,-2.8974242402457744,0.9205666901721993,2.840981145514479,0.5390625,0.47153066052123904,256.0
27.0,0.8149384078171671,-773.5365138745933,-3.02162700732263,0.9242297535305976,2.921246103712419,0.4990234375,0.47399227978894487,256.0
28.0,0.8085904078214082,-764.449164903072,-2.986129550402625,0.9165775330966243,2.9054534419004376,0.556640625,0.48688019410474226,256.0
29.0,0.8022950880199425,-866.42800185261,-3.384484382236758,0.9509181699239186,3.1208826283226845,0.57421875,0.5296989807393402,256.0
30.0,0.796052011235254,-776.0123323133654,-3.0312981730990836,0.9211813272280289,2.92920152062349,0.5322265625,0.5595327415503561,256.0
31.0,0.7898607439178347,-829.9928836074992,-3.2421597015917936,0.9148513795787647,3.0777150239384694,0.55078125,0.5425668155658059,256.0
32.0,0.7837208561160769,-792.7185988596269,-3.0965570267954177,0.9177949289969713,2.9789045183375986,0.5498046875,0.5803570407442749,256.0
33.0,0.7776319214464162,-764.2322474852092,-2.9852822167390984,0.9143132982146052,2.908318620682456,0.544921875,0.6624528310494497,256.0
